id,gender,age,relationship_art,like_museums,languages
1,Female,34,[2],1,EN
2,Male,53,[2],1,EN
3,Male,33,[1],1,EN
4,Female,44,[3],2,EN
5,Male,37,[2],1,EN
6,Female,41,[2],2,EN
7,Female,32,[1],2,EN
8,Female,,[2],2,EN
9,Prefer not to say,35,"[1, 0]",0,EN
10,Female,29,[1],1,EN
11,Female,39,"[3, 2]",2,EN
12,Female,52,[3],2,EN
13,Male,49,"[3, 2]",1,EN
14,Male,26,[2],2,EN
15,Male,28,[3],2,EN
16,Male,67,[3],2,EN
17,Male,36,"[3, 2]",1,EN
18,Female,44,[3],2,EN
19,Female,50,[3],2,EN
20,Male,63,[3],2,EN
21,Male,41,[2],1,EN
22,Female,62,[3],2,EN
23,Female,28,[3],1,EN
24,Female,43,[1],1,EN
25,Agender,31,"[3, 2]",2,EN
26,Female,35,[1],1,EN
27,Female,59,"[3, 2]",1,EN
28,Female,59,[2],1,EN
29,Male,48,[2],2,EN
30,Female,60,[1],1,EN
31,Female,?,[1],0,EN
32,Female,37,[3],2,EN
33,Female,53,[2],2,EN
34,Female,61,[1],1,EN
35,Female,62,"[3, 2]",2,EN
36,Female,50,[2],1,EN
37,Masculino,30.0,[3],1,ES
38,Femenino,33.0,[3],2,ES
39,Femenino,30.0,[2],1,ES
40,Masculino,59.0,[2],1,ES
41,Femenino,63.0,[2],1,ES
42,Femenino,42.0,[2],1,ES
43,Femenino,60.0,[2],2,ES
44,Femenino,55.0,[1],1,ES
45,Femenino,47.0,[1],1,ES
46,Masculino,48.0,[3],2,ES
47,Masculino,51.0,[3],2,ES
48,Femenino,62.0,[1],1,ES
49,Femenino,34.0,"[3, 2]",1,ES
50,Mies,40.0,[3],1,FI
51,Mies,45.0,"[3, 1]",1,FI
52,Nainen,38.0,[1],1,FI
53,Mies,61.0,"[3, 2]",1,FI
54,Muunsukupuolinen / sukupuoleton,34.0,"[3, 2]",1,FI
55,Nainen,39.0,[2],2,FI
56,Nainen,46.0,[1],1,FI
57,Nainen,55.0,[3],1,FI
58,Nainen,30.0,[2],2,FI
59,Mies,37.0,[1],0,FI
60,Nainen,57.0,[1],2,FI
61,En halua sanoa,,[3],1,FI
62,Nainen,62.0,"[3, 2]",2,FI
63,נקבה,41.0,[3],2,HE
64,נקבה,44.0,[1],1,HE
65,נקבה,41.0,[0],0,HE
66,נקבה,60.0,[1],1,HE
67,זָכָר,46.0,[0],0,HE
68,זָכָר,80.0,[1],1,HE
69,זָכָר,28.0,[0],0,HE
70,זָכָר,49.0,[1],1,HE
71,זָכָר,60.0,[1],2,HE
72,זָכָר,24.0,[2],1,HE
73,זָכָר,32.0,[1],1,HE
74,זָכָר,36.0,[1],0,HE
75,זָכָר,77.0,[1],0,HE
76,נקבה,45.0,[2],1,HE
77,נקבה,17.0,[0],1,HE
78,נקבה,23.0,[1],1,HE
79,נקבה,26.0,[1],0,HE
80,נקבה,23.0,[2],1,HE
81,נקבה,50.0,[1],1,HE
82,נקבה,50.0,[1],1,HE
83,זָכָר,30.0,[2],1,HE
84,נקבה,31.0,[1],0,HE
85,נקבה,53.0,[2],2,HE
86,מעדיף שלא לומר,,[2],2,HE
87,נקבה,45.0,[1],1,HE
88,נקבה,23.0,[2],1,HE
89,זָכָר,61.0,[1],1,HE
90,נקבה,28.0,[1],1,HE
91,נקבה,23.0,[2],1,HE
92,זָכָר,40.0,"[2, 1]",0,HE
93,Uomo,53.0,[2],1,IT
94,Donna,23.0,[1],1,IT
95,Uomo,55.0,[1],1,IT
96,Uomo,38.0,[1],0,IT
97,Donna,54.0,[2],1,IT
98,Donna,38.0,[3],2,IT
99,Donna,47.0,[1],1,IT
100,Donna,26.0,[1],0,IT
101,Donna,24.0,[2],2,IT
102,Donna,66.0,[1],2,IT
103,Donna,55.0,[2],2,IT
104,Donna,42.0,[3],2,IT
105,Donna,36.0,[3],2,IT
106,Donna,55.0,[2],2,IT
107,Donna,25.0,"[3, 2]",2,IT
108,Donna,51.0,[1],1,IT
109,Donna,25.0,[1],2,IT
110,Uomo,56.0,[3],2,IT
111,Preferisco non dichiararlo,36.0,[2],1,IT
112,Donna,36.0,[3],1,IT
113,Donna,30.0,[2],2,IT
114,Donna,30.0,[3],2,IT
115,Donna,37.0,[2],2,IT
116,Donna,42.0,[3],2,IT
117,Donna,33.0,[2],2,IT
118,Donna,73.0,[2],2,IT
119,Uomo,61.0,[2],1,IT
120,Nonbinario,22.0,[2],1,IT
121,Donna,32.0,[3],2,IT
122,Donna,42.0,[2],2,IT
123,Donna,24.0,[2],2,IT
124,Donna,51.0,[3],2,IT
125,Donna,47.0,[3],2,IT
